author_id,name,community_id,paper_count,weighted_degree,internal_weight,external_weight,external_ratio,community_span,bridge_score
pid:47/8135,Stefano Ermon,7,163,715,336,379,0.5300699300699301,40,946.9401471796833
pid:36/3855,Eric P. Xing,76,76,433,131,302,0.6974595842956121,31,940.6304325148876
pid:72/8399,James Zou 0001,7,86,490,189,301,0.6142857142857143,32,831.4042481151521
pid:07/4227-1,Tong Zhang 0001,31,94,361,113,248,0.6869806094182825,34,776.1000752738084
pid:j/MichaelIJordan,Michael I. Jordan,0,117,409,142,267,0.6528117359413202,29,767.1319318858518
pid:67/2526,J. Zico Kolter,9,114,401,142,259,0.6458852867830424,29,736.2511759583019
pid:62/5884,Ruslan Salakhutdinov,16,110,445,191,254,0.5707865168539326,29,638.0846073602598
pid:s/SMKakade,Sham M. Kakade,6,90,429,188,241,0.5617715617715617,26,581.6002354647959
pid:50/3402-26,Bo Li 0026,5,100,582,314,268,0.46048109965635736,35,565.6471894083704
pid:14/8885,Oluwasanmi Koyejo,46,52,234,64,170,0.7264957264957265,30,547.6163684171826
pid:04/1701,Percy Liang,0,99,517,259,258,0.4990328820116054,22,532.4468800563016
pid:60/7949,Junchi Yan,52,133,608,344,264,0.4342105263157895,33,518.8638538217895
pid:t/YuandongTian,Yuandong Tian,7,65,304,119,185,0.6085526315789473,28,491.67993349107593
pid:80/7282,Caiming Xiong,38,81,571,323,248,0.4343257443082312,34,490.669224472583
pid:82/8699,et al.,6,16,320,117,203,0.634375,14,477.5157523038156
pid:150/3317,Chaowei Xiao,76,36,294,116,178,0.6054421768707483,27,466.8760806135754
pid:25/1529,Animashree Anandkumar,71,80,480,261,219,0.45625,37,463.3818120971608
pid:92/5339,Jianfeng Gao 0001,76,61,478,252,226,0.47280334728033474,26,459.02544721346675
pid:257/3355,Minkai Xu,65,28,170,30,140,0.8235294117647058,18,454.77061171566015
pid:d/TrevorDarrell,Trevor Darrell,0,65,371,174,197,0.5309973045822103,27,453.17661680697984
pid:l/JureLeskovec,Jure Leskovec,0,78,425,219,206,0.48470588235294115,31,445.9011029910805
pid:l/YannLeCun,Yann LeCun,43,54,246,86,160,0.6504065040650406,24,439.0374842139266
pid:k/KurtKeutzer,Kurt Keutzer,1,37,257,95,162,0.6303501945525292,25,434.82290094877726
pid:127/7411,Kenji Kawaguchi,43,54,270,106,164,0.6074074074074074,27,431.5517500210085
pid:12/7659-2,Mohammad Norouzi 0002,9,40,193,42,151,0.7823834196891192,13,429.9178558163602
